YEAR,Forcing,Deep dT,Mixed dT ,Anom.,Obs.,Error^2,Equil. dT,Equil. Anom.,,,,,,,,,,,,
1750,0.00,0.00,0.00,-0.23,#N/A,#N/A,0.00,-0.34,,,,,,,,,,,,
1751,-0.03,0.00,0.00,-0.24,#N/A,#N/A,-0.01,-0.35,,,,,,,,,,,,
1752,-0.05,0.00,-0.01,-0.24,#N/A,#N/A,-0.02,-0.35,,,,,,MODEL PARAMETERS,,,,,,
1753,-0.05,0.00,-0.01,-0.24,#N/A,#N/A,-0.02,-0.35,,,,,,,,,,,,
1754,-0.06,0.00,-0.01,-0.24,#N/A,#N/A,-0.02,-0.36,,,,,climate sensitivity ?,0.40 ,K(W m-2)-1,DEFAULT VALUES,,0.80 ,,
1755,-0.73,0.00,-0.06,-0.30,#N/A,#N/A,-0.29,-0.63,,,,,mixed layer depth dm,100.0 ,m,,,100.00 ,,
1756,-0.07,0.00,-0.05,-0.29,#N/A,#N/A,-0.03,-0.36,,,,,deep ocean depth dd,900.0 ,m,,,900.00 ,,
1757,-0.06,0.00,-0.04,-0.28,#N/A,#N/A,-0.02,-0.36,,,,,diffusivity ?,0.0001 ,m2 s-1,,,0.0001 ,,
1758,-0.06,0.00,-0.04,-0.27,#N/A,#N/A,-0.02,-0.36,,,,,,,,,,,,
1759,-0.11,0.00,-0.04,-0.27,#N/A,#N/A,-0.04,-0.38,,,,RMS Error,0.1254 ,K,,,,,,
1760,-0.18,0.00,-0.04,-0.28,#N/A,#N/A,-0.07,-0.41,,,,,,,,,,,,
1761,-1.12,0.00,-0.11,-0.35,#N/A,#N/A,-0.45,-0.78,,,,,time step,31536000.0 ,s,!DO NOT CHANGE,,,,
1762,-0.31,0.00,-0.11,-0.34,#N/A,#N/A,-0.13,-0.46,,,,,mixed layer heat capacity Cm,421800000.0 ,J K-1 m-2,"""",,,,
1763,-0.12,0.00,-0.09,-0.33,#N/A,#N/A,-0.05,-0.38,,,,,deep ocean heat capacity Cd,3796200000.0 ,J K-1 m-2,"""",,,,
1764,-0.05,0.00,-0.07,-0.31,#N/A,#N/A,-0.02,-0.35,,,,,Diffusivity*density*specific ht,421.8 ,J K-1 m-1 s-1,"""",,,,
1765,-0.06,0.00,-0.06,-0.29,#N/A,#N/A,-0.02,-0.36,,,,,init mixed layer temp,0.0 ,K,"""",,,,
1766,-0.05,-0.01,-0.05,-0.28,#N/A,#N/A,-0.02,-0.35,,,,,init deep layer temp,0.0 ,K,"""",,,,
1767,-0.03,-0.01,-0.04,-0.27,#N/A,#N/A,-0.01,-0.35,,,,,thermal expansion coefficient,0.0002,K-1,"""",,,,
1768,0.02,-0.01,-0.03,-0.26,#N/A,#N/A,0.01,-0.33,,,,,"Semi-empirical constant, a",0.003,[m K-1 yr-1],"""",,,,
1769,0.06,-0.01,-0.02,-0.25,#N/A,#N/A,0.02,-0.31,,,,,"Semi-empirical constant, b",0.049,[m K-1],"""",,,,
1770,0.09,-0.01,-0.01,-0.24,#N/A,#N/A,0.04,-0.30,,,,,,,,,,,,
1771,0.07,-0.01,0.00,-0.23,#N/A,#N/A,0.03,-0.31,,,,,,,,,,,,
1772,0.00,-0.01,0.00,-0.24,#N/A,#N/A,0.00,-0.34,,,,,,,,,,,,
1773,0.01,-0.01,0.00,-0.23,#N/A,#N/A,0.01,-0.33,,,,,,,,,,,,
1774,0.01,-0.01,0.00,-0.23,#N/A,#N/A,0.00,-0.33,,,,,,,,,,,,
1775,-0.02,-0.01,0.00,-0.24,#N/A,#N/A,-0.01,-0.34,,,,,,,,,,,,
1776,-0.02,-0.01,0.00,-0.24,#N/A,#N/A,-0.01,-0.34,,,,,,,,,,,,
1777,-0.01,-0.01,0.00,-0.24,#N/A,#N/A,-0.01,-0.34,,,,,,,,,,,,
1778,-0.03,-0.01,-0.01,-0.24,#N/A,#N/A,-0.01,-0.35,,,,,,,,,,,,
1779,-0.08,-0.01,-0.01,-0.25,#N/A,#N/A,-0.03,-0.37,,,,,,,,,,,,
1780,-0.06,-0.01,-0.01,-0.25,#N/A,#N/A,-0.03,-0.36,,,,,,,,,,,,
1781,-0.04,-0.01,-0.01,-0.25,#N/A,#N/A,-0.02,-0.35,,,,,,,,,,,,
1782,-0.01,-0.01,-0.01,-0.25,#N/A,#N/A,0.00,-0.34,,,,,,,,,,,,
1783,-7.90,-0.01,-0.60,-0.83,#N/A,#N/A,-3.16,-3.49,,,,,,,,,,,,
1784,-0.55,-0.01,-0.49,-0.73,#N/A,#N/A,-0.22,-0.56,,,,,,,,,,,,
1785,-0.14,-0.01,-0.38,-0.61,#N/A,#N/A,-0.05,-0.39,,,,,,,,,,,,
1786,-0.01,-0.02,-0.29,-0.52,#N/A,#N/A,-0.01,-0.34,,,,,,,,,,,,
1787,0.04,-0.02,-0.21,-0.45,#N/A,#N/A,0.01,-0.32,,,,,,,,,,,,
1788,-0.05,-0.02,-0.16,-0.40,#N/A,#N/A,-0.02,-0.36,,,,,,,,,,,,
1789,-0.02,-0.02,-0.13,-0.36,#N/A,#N/A,-0.01,-0.34,,,,,,,,,,,,
1790,-0.01,-0.02,-0.10,-0.33,#N/A,#N/A,0.00,-0.34,,,,,,,,,,,,
1791,0.01,-0.02,-0.07,-0.31,#N/A,#N/A,0.00,-0.33,,,,,,,,,,,,
1792,0.02,-0.02,-0.06,-0.29,#N/A,#N/A,0.01,-0.33,,,,,,,,,,,,
1793,0.01,-0.02,-0.04,-0.28,#N/A,#N/A,0.00,-0.33,,,,,,,,,,,,
1794,-0.14,-0.02,-0.04,-0.28,#N/A,#N/A,-0.06,-0.39,,,,,,,,,,,,
1795,0.06,-0.02,-0.03,-0.26,#N/A,#N/A,0.02,-0.31,,,,,,,,,,,,
1796,-0.72,-0.02,-0.08,-0.31,#N/A,#N/A,-0.29,-0.62,,,,,,,,,,,,
1797,-0.02,-0.02,-0.06,-0.30,#N/A,#N/A,-0.01,-0.34,,,,,,,,,,,,
1798,0.04,-0.02,-0.04,-0.28,#N/A,#N/A,0.02,-0.32,,,,,,,,,,,,
1799,0.06,-0.02,-0.03,-0.26,#N/A,#N/A,0.02,-0.31,,,,,,,,,,,,
1800,0.06,-0.02,-0.02,-0.25,#N/A,#N/A,0.02,-0.31,,,,,,,,,,,,
1801,-0.06,-0.02,-0.02,-0.26,#N/A,#N/A,-0.02,-0.36,,,,,,,,,,,,
1802,0.06,-0.02,-0.01,-0.25,#N/A,#N/A,0.02,-0.31,,,,,,,,,,,,
1803,0.08,-0.02,0.00,-0.24,#N/A,#N/A,0.03,-0.30,,,,,,,,,,,,
1804,-0.14,-0.02,-0.02,-0.25,#N/A,#N/A,-0.06,-0.39,,,,,,,,,,,,
1805,0.01,-0.02,-0.01,-0.25,#N/A,#N/A,0.01,-0.33,,,,,,,,,,,,
1806,0.08,-0.02,0.00,-0.24,#N/A,#N/A,0.03,-0.30,,,,,,,,,,,,
1807,0.08,-0.02,0.00,-0.23,#N/A,#N/A,0.03,-0.30,,,,,,,,,,,,
1808,0.07,-0.02,0.00,-0.23,#N/A,#N/A,0.03,-0.31,,,,,,,,,,,,
1809,-6.87,-0.02,-0.51,-0.75,#N/A,#N/A,-2.75,-3.08,,,,,,,,,,,,
1810,-2.18,-0.03,-0.55,-0.78,#N/A,#N/A,-0.87,-1.21,,,,,,,,,,,,
1811,-0.76,-0.03,-0.47,-0.70,#N/A,#N/A,-0.31,-0.64,,,,,,,,,,,,
1812,-0.24,-0.03,-0.37,-0.61,#N/A,#N/A,-0.09,-0.43,,,,,,,,,,,,
1813,-0.03,-0.03,-0.28,-0.52,#N/A,#N/A,-0.01,-0.35,,,,,,,,,,,,
1814,0.08,-0.04,-0.21,-0.44,#N/A,#N/A,0.03,-0.30,,,,,,,,,,,,
1815,-11.55,-0.04,-1.02,-1.26,#N/A,#N/A,-4.62,-4.95,,,,,,,,,,,,
1816,-4.46,-0.04,-1.10,-1.34,#N/A,#N/A,-1.79,-2.12,,,,,,,,,,,,
1817,-2.33,-0.05,-1.00,-1.24,#N/A,#N/A,-0.93,-1.27,,,,,,,,,,,,
1818,-0.83,-0.06,-0.82,-1.05,#N/A,#N/A,-0.33,-0.67,,,,,,,,,,,,
1819,-0.25,-0.06,-0.64,-0.87,#N/A,#N/A,-0.10,-0.44,,,,,,,,,,,,
1820,0.04,-0.07,-0.48,-0.71,#N/A,#N/A,0.02,-0.32,,,,,,,,,,,,
1821,0.07,-0.07,-0.36,-0.59,#N/A,#N/A,0.03,-0.31,,,,,,,,,,,,
1822,0.07,-0.07,-0.27,-0.50,#N/A,#N/A,0.03,-0.31,,,,,,,,,,,,
1823,0.07,-0.07,-0.20,-0.44,#N/A,#N/A,0.03,-0.31,,,,,,,,,,,,
1824,0.08,-0.08,-0.15,-0.38,#N/A,#N/A,0.03,-0.30,,,,,,,,,,,,
1825,0.09,-0.08,-0.11,-0.34,#N/A,#N/A,0.03,-0.30,,,,,,,,,,,,
1826,0.10,-0.08,-0.08,-0.31,#N/A,#N/A,0.04,-0.30,,,,,,,,,,,,
1827,0.13,-0.08,-0.06,-0.29,#N/A,#N/A,0.05,-0.28,,,,,,,,,,,,
1828,0.14,-0.08,-0.04,-0.27,#N/A,#N/A,0.06,-0.28,,,,,,,,,,,,
1829,0.15,-0.08,-0.02,-0.26,#N/A,#N/A,0.06,-0.28,,,,,,,,,,,,
1830,0.15,-0.08,-0.01,-0.24,#N/A,#N/A,0.06,-0.27,,,,,,,,,,,,
1831,-1.38,-0.07,-0.11,-0.35,#N/A,#N/A,-0.55,-0.89,,,,,,,,,,,,
1832,-1.10,-0.08,-0.17,-0.41,#N/A,#N/A,-0.44,-0.77,,,,,,,,,,,,
1833,-0.49,-0.08,-0.17,-0.41,#N/A,#N/A,-0.20,-0.53,,,,,,,,,,,,
1834,-0.11,-0.08,-0.14,-0.38,#N/A,#N/A,-0.04,-0.38,,,,,,,,,,,,
1835,-4.82,-0.08,-0.47,-0.71,#N/A,#N/A,-1.93,-2.26,,,,,,,,,,,,
1836,-1.29,-0.08,-0.45,-0.69,#N/A,#N/A,-0.51,-0.85,,,,,,,,,,,,
1837,-0.33,-0.08,-0.37,-0.61,#N/A,#N/A,-0.13,-0.47,,,,,,,,,,,,
1838,0.00,-0.08,-0.28,-0.52,#N/A,#N/A,0.00,-0.34,,,,,,,,,,,,
1839,0.10,-0.09,-0.21,-0.44,#N/A,#N/A,0.04,-0.29,,,,,,,,,,,,
1840,0.13,-0.09,-0.15,-0.39,#N/A,#N/A,0.05,-0.28,,,,,,,,,,,,
1841,0.15,-0.09,-0.11,-0.34,#N/A,#N/A,0.06,-0.28,,,,,,,,,,,,
1842,0.15,-0.09,-0.08,-0.31,#N/A,#N/A,0.06,-0.28,,,,,,,,,,,,
1843,0.10,-0.09,-0.06,-0.29,#N/A,#N/A,0.04,-0.29,,,,,,,,,,,,
1844,0.14,-0.09,-0.04,-0.27,#N/A,#N/A,0.05,-0.28,,,,,,,,,,,,
1845,0.15,-0.09,-0.02,-0.26,#N/A,#N/A,0.06,-0.27,,,,,,,,,,,,
1846,0.09,-0.09,-0.01,-0.25,#N/A,#N/A,0.04,-0.30,,,,,,,,,,,,
1847,0.11,-0.09,-0.01,-0.24,#N/A,#N/A,0.04,-0.29,,,,,,,,,,,,
1848,0.17,-0.09,0.00,-0.23,#N/A,#N/A,0.07,-0.27,,,,,,,,,,,,
1849,0.24,-0.08,0.01,-0.22,#N/A,#N/A,0.10,-0.24,,,,,,,,,,,,
1850,0.12,-0.08,0.01,-0.22,-0.37,0.02,0.05,-0.29,,,,,,,,,,,,
1851,0.14,-0.08,0.02,-0.22,-0.22,0.00,0.06,-0.28,,,,,,,,,,,,
1852,0.17,-0.08,0.02,-0.22,-0.22,0.00,0.07,-0.27,,,,,,,,,,,,
1853,0.18,-0.08,0.02,-0.21,-0.27,0.00,0.07,-0.26,,,,,,,,,,,,
1854,0.18,-0.08,0.02,-0.21,-0.25,0.00,0.07,-0.26,,,,,,,,,,,,
1855,0.16,-0.08,0.03,-0.21,-0.27,0.00,0.06,-0.27,,,,,,,,,,,,
1856,-0.28,-0.08,-0.01,-0.24,-0.35,0.01,-0.11,-0.45,,,,,,,,,,,,
1857,-1.28,-0.08,-0.11,-0.34,-0.46,0.01,-0.51,-0.85,,,,,,,,,,,,
1858,-0.93,-0.08,-0.15,-0.39,-0.47,0.01,-0.37,-0.71,,,,,,,,,,,,
1859,-0.22,-0.08,-0.14,-0.37,-0.29,0.01,-0.09,-0.42,,,,,,,,,,,,
1860,0.04,-0.08,-0.11,-0.34,-0.35,0.00,0.01,-0.32,,,,,,,,,,,,
1861,0.14,-0.08,-0.07,-0.31,-0.41,0.01,0.05,-0.28,,,,,,,,,,,,
1862,-0.04,-0.08,-0.06,-0.30,-0.53,0.05,-0.01,-0.35,,,,,,,,,,,,
1863,-0.14,-0.08,-0.06,-0.30,-0.28,0.00,-0.06,-0.39,,,,,,,,,,,,
1864,-0.01,-0.08,-0.05,-0.29,-0.49,0.04,0.00,-0.34,,,,,,,,,,,,
1865,0.09,-0.08,-0.04,-0.27,-0.27,0.00,0.04,-0.30,,,,,,,,,,,,
1866,0.14,-0.08,-0.02,-0.26,-0.25,0.00,0.05,-0.28,,,,,,,,,,,,
1867,0.12,-0.08,-0.01,-0.25,-0.32,0.01,0.05,-0.29,,,,,,,,,,,,
1868,0.15,-0.08,0.00,-0.24,-0.23,0.00,0.06,-0.28,,,,,,,,,,,,
1869,0.19,-0.08,0.01,-0.23,-0.27,0.00,0.08,-0.26,,,,,,,,,,,,
1870,0.15,-0.08,0.01,-0.22,-0.28,0.00,0.06,-0.27,,,,,,,,,,,,
1871,0.21,-0.08,0.02,-0.22,-0.33,0.01,0.08,-0.25,,,,,,,,,,,,
1872,0.20,-0.08,0.02,-0.21,-0.23,0.00,0.08,-0.26,,,,,,,,,,,,
1873,0.17,-0.08,0.03,-0.21,-0.30,0.01,0.07,-0.27,,,,,,,,,,,,
1874,0.14,-0.07,0.03,-0.21,-0.38,0.03,0.05,-0.28,,,,,,,,,,,,
1875,0.18,-0.07,0.03,-0.21,-0.40,0.04,0.07,-0.26,,,,,,,,,,,,
1876,0.10,-0.07,0.02,-0.21,-0.38,0.03,0.04,-0.30,,,,,,,,,,,,
1877,0.05,-0.07,0.02,-0.22,-0.08,0.02,0.02,-0.32,,,,,,,,,,,,
1878,0.09,-0.07,0.01,-0.22,0.04,0.07,0.04,-0.30,,,,,,,,,,,,
1879,0.14,-0.07,0.02,-0.22,-0.23,0.00,0.06,-0.28,,,,,,,,,,,,
1880,0.14,-0.07,0.02,-0.22,-0.23,0.00,0.06,-0.28,,,,,,,,,,,,
1881,0.20,-0.07,0.02,-0.21,-0.21,0.00,0.08,-0.26,,,,,,,,,,,,
1882,0.19,-0.07,0.03,-0.21,-0.21,0.00,0.08,-0.26,,,,,,,,,,,,
1883,-0.52,-0.07,-0.02,-0.26,-0.30,0.00,-0.21,-0.54,,,,,,,,,,,,
1884,-3.53,-0.07,-0.28,-0.52,-0.41,0.01,-1.41,-1.75,,,,,,,,,,,,
1885,-2.27,-0.07,-0.39,-0.62,-0.39,0.05,-0.91,-1.24,,,,,,,,,,,,
1886,-0.72,-0.07,-0.35,-0.58,-0.37,0.05,-0.29,-0.62,,,,,,,,,,,,
1887,-1.11,-0.07,-0.35,-0.58,-0.42,0.03,-0.44,-0.78,,,,,,,,,,,,
1888,-0.33,-0.08,-0.29,-0.53,-0.31,0.05,-0.13,-0.47,,,,,,,,,,,,
1889,-0.73,-0.08,-0.28,-0.51,-0.17,0.12,-0.29,-0.63,,,,,,,,,,,,
1890,-0.55,-0.08,-0.25,-0.49,-0.42,0.01,-0.22,-0.55,,,,,,,,,,,,
1891,-0.72,-0.08,-0.25,-0.48,-0.34,0.02,-0.29,-0.62,,,,,,,,,,,,
1892,-0.21,-0.08,-0.21,-0.44,-0.46,0.00,-0.09,-0.42,,,,,,,,,,,,
1893,0.00,-0.08,-0.16,-0.40,-0.47,0.01,0.00,-0.34,,,,,,,,,,,,
1894,0.27,-0.08,-0.11,-0.34,-0.41,0.00,0.11,-0.23,,,,,,,,,,,,
1895,0.33,-0.08,-0.06,-0.30,-0.39,0.01,0.13,-0.20,,,,,,,,,,,,
1896,0.20,-0.08,-0.04,-0.27,-0.18,0.01,0.08,-0.25,,,,,,,,,,,,
1897,-0.14,-0.08,-0.04,-0.28,-0.21,0.00,-0.06,-0.39,,,,,,,,,,,,
1898,-0.13,-0.08,-0.05,-0.28,-0.41,0.02,-0.05,-0.39,,,,,,,,,,,,
1899,0.14,-0.08,-0.03,-0.26,-0.29,0.00,0.06,-0.28,,,,,,,,,,,,
1900,0.23,-0.08,-0.01,-0.24,-0.20,0.00,0.09,-0.24,,,,,,,,,,,,
1901,0.27,-0.08,0.01,-0.23,-0.26,0.00,0.11,-0.23,,,,,,,,,,,,
1902,0.22,-0.08,0.02,-0.22,-0.40,0.03,0.09,-0.25,,,,,,,,,,,,
1903,-1.59,-0.08,-0.11,-0.35,-0.48,0.02,-0.63,-0.97,,,,,,,,,,,,
1904,-0.91,-0.08,-0.16,-0.39,-0.52,0.02,-0.36,-0.70,,,,,,,,,,,,
1905,-0.13,-0.08,-0.13,-0.37,-0.38,0.00,-0.05,-0.39,,,,,,,,,,,,
1906,0.17,-0.08,-0.09,-0.33,-0.28,0.00,0.07,-0.27,,,,,,,,,,,,
1907,0.22,-0.08,-0.06,-0.29,-0.47,0.03,0.09,-0.25,,,,,,,,,,,,
1908,0.08,-0.08,-0.04,-0.28,-0.51,0.06,0.03,-0.30,,,,,,,,,,,,
1909,0.24,-0.08,-0.02,-0.25,-0.52,0.07,0.10,-0.24,,,,,,,,,,,,
1910,0.32,-0.08,0.01,-0.23,-0.49,0.07,0.13,-0.21,,,,,,,,,,,,
1911,0.33,-0.08,0.02,-0.21,-0.54,0.11,0.13,-0.20,,,,,,,,,,,,
1912,0.35,-0.08,0.04,-0.20,-0.44,0.06,0.14,-0.20,,,,,,,,,,,,
1913,-0.42,-0.08,-0.01,-0.24,-0.43,0.03,-0.17,-0.50,,,,,,,,,,,,
1914,0.05,-0.08,-0.01,-0.24,-0.25,0.00,0.02,-0.31,,,,,,,,,,,,
1915,0.31,-0.08,0.01,-0.22,-0.15,0.01,0.13,-0.21,,,,,,,,,,,,
1916,0.43,-0.08,0.04,-0.20,-0.38,0.03,0.17,-0.16,,,,,,,,,,,,
1917,0.48,-0.08,0.06,-0.18,-0.46,0.08,0.19,-0.14,,,,,,,,,,,,
1918,0.56,-0.07,0.08,-0.15,-0.33,0.03,0.22,-0.11,,,,,,,,,,,,
1919,0.55,-0.07,0.10,-0.14,-0.27,0.02,0.22,-0.12,,,,,,,,,,,,
1920,0.53,-0.07,0.11,-0.13,-0.24,0.01,0.21,-0.12,,,,,,,,,,,,
1921,0.24,-0.07,0.09,-0.14,-0.19,0.00,0.10,-0.24,,,,,,,,,,,,
1922,0.42,-0.07,0.10,-0.14,-0.30,0.03,0.17,-0.17,,,,,,,,,,,,
1923,0.46,-0.07,0.10,-0.13,-0.27,0.02,0.18,-0.15,,,,,,,,,,,,
1924,0.43,-0.07,0.11,-0.13,-0.29,0.03,0.17,-0.16,,,,,,,,,,,,
